date,sales_forecast
2017-08-16,775087.0625
2017-08-17,682923.1875
2017-08-18,784610.3125
2017-08-19,940378.5
2017-08-20,1001252.1875
2017-08-21,787700.375
2017-08-22,739687.625
2017-08-23,762540.125
2017-08-24,687881.625
2017-08-25,805331.0
2017-08-26,919005.25
2017-08-27,1005669.9375
2017-08-28,796749.6875
2017-08-29,779416.875
2017-08-30,801678.0
2017-08-31,764714.125
2017-09-01,904254.3125
2017-09-02,1089160.875
2017-09-03,1176659.25
2017-09-04,885187.0625
2017-09-05,816493.4375
2017-09-06,800723.5625
2017-09-07,694077.4375
2017-09-08,804599.75
2017-09-09,977847.4375
2017-09-10,1075827.125
2017-09-11,796859.125
2017-09-12,780069.3125
2017-09-13,785560.75
2017-09-14,696329.4375
